Date,^IRX
2014-09-11,0.009999999776482582
2014-09-12,0.009999999776482582
2014-09-15,0.009999999776482582
2014-09-16,0.014999999664723873
2014-09-17,0.013000000268220901
2014-09-18,0.009999999776482582
2014-09-19,0.007000000216066837
2014-09-22,0.003000000026077032
2014-09-23,0.007000000216066837
2014-09-24,0.007000000216066837
2014-09-25,0.004999999888241291
2014-09-26,0.004999999888241291
2014-09-29,0.004999999888241291
2014-09-30,0.013000000268220901
2014-10-01,0.013000000268220901
2014-10-02,0.009999999776482582
2014-10-03,0.009999999776482582
2014-10-06,0.009999999776482582
2014-10-07,0.009999999776482582
2014-10-08,0.004999999888241291
2014-10-09,0.004999999888241291
2014-10-10,0.004999999888241291
2014-10-13,0.004999999888241291
2014-10-14,0.004999999888241291
2014-10-15,0.009999999776482582
